01/01/2017;00:00;397
01/01/2017;00:10;395
01/01/2017;00:20;375
01/01/2017;00:30;322
01/01/2017;00:40;334
01/01/2017;00:50;346
01/01/2017;01:00;344
01/01/2017;01:10;345
01/01/2017;01:20;352
01/01/2017;01:30;344
01/01/2017;01:40;348
01/01/2017;01:50;352
01/01/2017;02:00;400
01/01/2017;02:10;423
01/01/2017;02:20;425
01/01/2017;02:30;343
01/01/2017;02:40;340
01/01/2017;02:50;345
01/01/2017;03:00;343
01/01/2017;03:10;340
01/01/2017;03:20;346
01/01/2017;03:30;344
01/01/2017;03:40;340
01/01/2017;03:50;341
01/01/2017;04:00;388
01/01/2017;04:10;433
01/01/2017;04:20;429
01/01/2017;04:30;350
01/01/2017;04:40;346
01/01/2017;04:50;349
01/01/2017;05:00;350
01/01/2017;05:10;346
01/01/2017;05:20;347
01/01/2017;05:30;352
01/01/2017;05:40;346
01/01/2017;05:50;348
01/01/2017;06:00;387
01/01/2017;06:10;440
01/01/2017;06:20;436
01/01/2017;06:30;360
01/01/2017;06:40;359
01/01/2017;06:50;358
01/01/2017;07:00;358
01/01/2017;07:10;364
01/01/2017;07:20;358
01/01/2017;07:30;359
01/01/2017;07:40;360
01/01/2017;07:50;360
01/01/2017;08:00;417
01/01/2017;08:10;435
01/01/2017;08:20;418
01/01/2017;08:30;353
01/01/2017;08:40;350
01/01/2017;08:50;354
01/01/2017;09:00;354
01/01/2017;09:10;350
01/01/2017;09:20;351
01/01/2017;09:30;357
01/01/2017;09:40;354
01/01/2017;09:50;348
01/01/2017;10:00;437
01/01/2017;10:10;435
01/01/2017;10:20;393
01/01/2017;10:30;353
01/01/2017;10:40;351
01/01/2017;10:50;355
01/01/2017;11:00;351
01/01/2017;11:10;348
01/01/2017;11:20;352
01/01/2017;11:30;358
01/01/2017;11:40;346
01/01/2017;11:50;349
01/01/2017;12:00;418
01/01/2017;12:10;431
01/01/2017;12:20;408
01/01/2017;12:30;353
01/01/2017;12:40;349
01/01/2017;12:50;351
01/01/2017;13:00;349
01/01/2017;13:10;350
01/01/2017;13:20;347
01/01/2017;13:30;348
01/01/2017;13:40;348
01/01/2017;13:50;351
01/01/2017;14:00;356
01/01/2017;14:10;435
01/01/2017;14:20;433
01/01/2017;14:30;374
01/01/2017;14:40;348
01/01/2017;14:50;352
01/01/2017;15:00;351
01/01/2017;15:10;348
01/01/2017;15:20;350
01/01/2017;15:30;354
01/01/2017;15:40;348
01/01/2017;15:50;349
01/01/2017;16:00;353
01/01/2017;16:10;347
01/01/2017;16:20;423
01/01/2017;16:30;433
01/01/2017;16:40;392
01/01/2017;16:50;349
01/01/2017;17:00;355
01/01/2017;17:10;355
01/01/2017;17:20;356
01/01/2017;17:30;361
01/01/2017;17:40;355
01/01/2017;17:50;353
01/01/2017;18:00;360
01/01/2017;18:10;356
01/01/2017;18:20;353
01/01/2017;18:30;408
01/01/2017;18:40;447
01/01/2017;18:50;424
01/01/2017;19:00;354
01/01/2017;19:10;359
01/01/2017;19:20;351
01/01/2017;19:30;348
01/01/2017;19:40;351
01/01/2017;19:50;351
01/01/2017;20:00;347
01/01/2017;20:10;351
01/01/2017;20:20;350
01/01/2017;20:30;349
01/01/2017;20:40;353
01/01/2017;20:50;420
01/01/2017;21:00;418
01/01/2017;21:10;354
01/01/2017;21:20;336
01/01/2017;21:30;335
01/01/2017;21:40;338
01/01/2017;21:50;336
01/01/2017;22:00;353
01/01/2017;22:10;360
01/01/2017;22:20;355
01/01/2017;22:30;358
01/01/2017;22:40;359
01/01/2017;22:50;358
01/01/2017;23:00;414
01/01/2017;23:10;439
01/01/2017;23:20;413
01/01/2017;23:30;356
01/01/2017;23:40;358
01/01/2017;23:50;334
02/01/2017;00:00;355
02/01/2017;00:10;356
02/01/2017;00:20;358
02/01/2017;00:30;354
02/01/2017;00:40;358
02/01/2017;00:50;357
02/01/2017;01:00;355
02/01/2017;01:10;354
02/01/2017;01:20;435
02/01/2017;01:30;431
02/01/2017;01:40;383
02/01/2017;01:50;356
02/01/2017;02:00;349
02/01/2017;02:10;353
02/01/2017;02:20;353
02/01/2017;02:30;357
02/01/2017;02:40;350
02/01/2017;02:50;351
02/01/2017;03:00;357
02/01/2017;03:10;353
02/01/2017;03:20;350
02/01/2017;03:30;400
